appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
122,A Timely Intervention,2017-03-24,1,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG;Strategy,Casual;Adventure;Indie,18,10,2,0,0,0-20000,6.99
123,A Top-Down Job: Blood Gain,2018-09-25,1,Blet Studio!,Blet Studio!,windows,0,Single-player,Action;Indie,Action;Indie,0,6,3,0,0,0-20000,0.79
124,A tractor,2018-08-15,1,Games for May,Games for May,windows,0,Multi-player;Online Multi-Player;MMO;Online Co-op,Casual;Indie;Massively Multiplayer;Strategy;Early Access,Early Access;Massively Multiplayer;Indie,0,78,26,0,0,0-20000,0.0
125,A Trip to Yugoslavia: Director's Cut,2017-02-22,1,Piotr Bunkowski;Hades Productions,Sometimes You,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Indie;Casual;Action,49,83,36,480,587,50000-100000,0.79
126,A Turd's Life,2018-03-14,1,Bergie Games,Bergie Games,windows,0,Single-player,Action;Early Access,Early Access;Action,0,7,1,0,0,0-20000,2.09
127,A Valley Without Wind,2012-04-24,1,"Arcen Games, LLC","Arcen Games, LLC",windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Platformer;Action;Indie,98,272,186,84,84,200000-500000,0.0
128,A Valley Without Wind 2,2013-02-18,1,"Arcen Games, LLC","Arcen Games, LLC",windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support,Action;Adventure;Indie;Strategy,Action;Indie;Strategy,210,94,97,0,0,100000-200000,0.0
129,A Vampyre Story,2014-07-15,1,Autumn Moon,Strategy First,windows,0,Single-player,Adventure,Adventure;Point & Click;Vampire,0,49,35,0,0,0-20000,14.99
130,A Verdant Hue,2016-07-26,1,Spilt Milk Studios Ltd,Spilt Milk Studios Ltd,windows,0,Single-player,Casual;Free to Play;Indie;Simulation;Strategy,Strategy;Simulation;Indie,0,3,2,0,0,0-20000,9.99
131,A Virus Named TOM,2012-08-01,1,Misfits Attic,Misfits Attic,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Indie;Puzzle;Action,47,379,305,92,97,200000-500000,6.99
132,A Walk Along the Wall,2018-01-16,1,SCRAWL,SCRAWL,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Lovecraftian,19,6,0,0,0,0-20000,2.89
133,A Walk in the Woods,2018-05-01,1,Something Dark Studios,Something Dark Studios,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Partial Controller Support,Adventure;Free to Play;Indie,Free to Play;Multiplayer;Indie,0,102,155,4,4,50000-100000,0.0
134,A way up!,2019-03-08,1,BlueTreeGames,BlueTreeGames,windows,0,Single-player;Steam Achievements,Action;Casual;Indie,Casual;Action;Indie,1,4,1,0,0,0-20000,3.99
135,A Week of Circus Terror,2016-08-05,1,Richard Haraším,Richard Haraším,windows,0,Single-player,Indie,Indie;Horror;Point & Click,0,17,13,0,0,0-20000,3.99
136,A Wild Catgirl Appears!,2016-01-04,1,NewWestGames,NewWestGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Memes;Visual Novel;Adventure,5,136,105,274,274,20000-50000,1.99
137,A Winter's Daydream,2018-10-15,1,ebi-hime,ebi-hime,windows;mac;linux,0,Single-player;Steam Achievements,Indie;Simulation,Indie;Simulation;Visual Novel,7,19,0,0,0,0-20000,4.79
138,A Wise Use of Time,2015-09-04,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;RPG,RPG;Indie;Choices Matter,38,88,19,0,0,0-20000,5.19
139,A Wizard's Lizard,2014-06-16,1,Lost Decade Games,Lost Decade Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;RPG,Rogue-like;Indie;RPG,20,285,131,0,0,50000-100000,6.99
140,A Wizard's Lizard: Soul Thief,2016-04-05,1,Lost Decade Games,Lost Decade Games,windows;mac,0,Single-player;Full controller support,Action;Indie;RPG;Early Access,Early Access;Action;Indie,0,43,10,0,0,0-20000,6.99
141,A Wolf in Autumn,2015-10-27,1,David Szymanski,David Szymanski,windows,0,Single-player,Adventure;Indie,Indie;Adventure;Horror,0,171,59,0,0,20000-50000,1.59
142,A Wonder,2017-11-13,1,Class of  2016-2017,Campus ADN,windows,0,Single-player;Full controller support;Commentary available,Adventure;Casual;Free to Play;Indie,Free to Play;Adventure;Casual,0,44,41,0,0,50000-100000,0.0
143,A Writer And His Daughter,2017-11-02,1,Dimfrost,Dimfrost,windows,0,Single-player,Adventure;Indie,Adventure;Indie;VR,0,11,2,0,0,0-20000,1.69
144,A-10 VR,2016-04-05,1,Futuretown,Futuretown,windows,0,Single-player;Steam Achievements;Steam Trading Cards;VR Support,Action;Indie,Action;Indie;VR,13,136,8,0,0,0-20000,3.99
145,A-Escape VR,2017-03-31,1,CTN Design,A-Escape,windows,0,Single-player,Adventure;Indie,Adventure;Indie;VR,0,10,6,0,0,0-20000,3.99
146,A-Gents,2016-04-20,1,phime studio LLC,phime studio LLC,windows;mac;linux,0,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Pixel Graphics,17,96,23,189,257,20000-50000,3.99
147,A-Men,2014-01-24,1,Bloober Team SA,Bloober Team SA,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,25,19,28,0,0,0-20000,6.99
148,A-Men 2,2015-06-24,1,Bloober Team SA,Bloober Team SA,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Indie,Indie;Adventure,12,9,12,0,0,0-20000,5.99
149,A-Tech Cybernetic VR,2017-03-15,1,XREAL Games,XREAL Games,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Gore,44,229,34,0,0,0-20000,15.9
150,A-Train 8,2013-09-18,1,ARTDINK,Degica,windows,0,Single-player,Simulation,Simulation;Trains;Strategy,0,20,26,0,0,0-20000,14.99
151,A-Train 9 V4.0 : Japan Rail Simulator,2015-10-21,1,ARTDINK,Degica,windows,0,Single-player;Steam Trading Cards;Includes level editor,Simulation,Simulation;Trains;Economy,0,47,16,0,0,0-20000,44.99
152,A-Train PC Classic / みんなのA列車で行こうPC,2016-12-13,1,ARTDINK,STUDIOARTDINK;Degica,windows,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,Simulation,Simulation;Trains;City Builder,50,50,12,0,0,0-20000,44.99
153,"A.D.M(Angels,Demons And Men)",2018-08-15,1,SmartOliveGames,SmartOliveGames,windows,0,Single-player,Violent;Action;Indie;RPG,Action;RPG;Indie,0,0,1,0,0,0-20000,7.19
154,A.I. Invasion,2015-09-30,1,GameArt Studio GmbH,GameArt Studio GmbH,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;Simulation;Strategy,Action;Indie;Top-Down Shooter,25,23,43,0,0,0-20000,6.99
155,A.I. Space Corps,2016-02-05,1,GameArt Studio GmbH,GameArt Studio GmbH,windows,0,Single-player;Full controller support;Steam Leaderboards,Action;Casual;Indie;Simulation;Strategy,Action;Indie;Sci-fi,0,4,14,0,0,0-20000,3.99
156,A.I.M. Racing,2010-01-22,1,SkyRiver Studios,1C Entertainment,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;Racing,Racing;Action,0,54,21,0,0,20000-50000,0.0
157,A.I.M.2 Clan Wars,2014-05-22,1,SkyRiver Studios,1C Entertainment,windows,0,Single-player;Steam Cloud,Action;RPG;Simulation,RPG;Simulation;Action,0,219,65,0,0,50000-100000,1.99
158,A.L.A.N.: Rift Breakers,2018-09-05,1,Mia Blais-Côté,Mia Blais-Côté,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie,Casual;Indie;Sexual Content,15,12,0,0,0,0-20000,1.69
159,A.R.E.S. Extinction Agenda EX,2014-10-03,1,Extend Studio,ORiGO GAMES,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Platformer,31,131,38,0,0,0-20000,7.19
160,A.R.E.S.: Extinction Agenda,2011-01-19,1,Extend Studio,Extend Studio;ORiGO GAMES,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Action;Platformer;Indie,24,564,253,191,191,100000-200000,3.99
161,A.V.,2015-02-13,1,FirstForever Studios,MAGIC Spell Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Captions available;VR Support,Adventure;Indie,Indie;Adventure;Stealth,23,10,7,0,0,0-20000,4.99
162,AA Touch Gun!,2018-12-04,1,vadimalexepta,vadimalexepta,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,0,1,0,0,0-20000,0.79
163,AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,1,"Dejobaan Games, LLC","Dejobaan Games, LLC",windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Indie;Sports,Action;Indie;First-Person,7,547,103,151,151,100000-200000,6.99
164,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,1,"Dejobaan Games, LLC;Owlchemy Labs","Dejobaan Games, LLC",windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie;Sports,Indie;Action;First-Person,10,747,252,136,136,200000-500000,6.99
165,Aaero,2017-04-11,1,Mad Fellows,Mad Fellows,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Music,92,388,61,70,126,50000-100000,10.99
166,Aarklash: Legacy,2013-09-12,1,Cyanide Studio,Bigben Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Strategy,RPG;Strategy;Tactical,29,478,145,144,286,50000-100000,12.39
167,Aartform Curvy 3D 3.0,2013-11-12,1,Aartform,Aartform,windows,0,Single-player,Animation & Modeling,Animation & Modeling,0,33,12,0,0,0-20000,75.99
168,Aaru's Awakening,2015-02-23,1,Lumenox ehf,Lumenox ehf,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Indie,Indie;Adventure;Action,20,86,35,0,0,20000-50000,10.99
169,Abalone,2014-04-23,1,Games Up,Asmodee Digital,windows,0,Single-player;Cross-Platform Multiplayer;Steam Trading Cards;Includes level editor,Casual;Strategy,Board Game;Strategy;Casual,27,56,46,2,2,0-20000,5.19
170,Abalyte,2018-10-15,1,Purple Studios,Purple Studios,windows,0,Single-player;Partial Controller Support,Action;Adventure;Free to Play;Indie;RPG;Early Access,Early Access;Action;Free to Play,0,105,37,0,0,20000-50000,0.0
171,Abandon Ship,2018-02-21,1,Fireblade Software,Fireblade Software,windows,0,Single-player;Steam Trading Cards,Adventure;Indie;Strategy;Early Access,Early Access;Pirates;Strategy,0,270,109,209,317,20000-50000,14.99
172,Abandoned,2018-12-28,1,Devious Minds,Devious Minds,windows,0,Single-player,Free to Play;Indie,Free to Play;Indie;Horror,0,11,17,0,0,0-20000,0.0
173,Abandoned Hospital VR,2016-08-03,1,munsunghyun,munsunghyun,windows,0,Single-player,Adventure;Indie,Indie;Adventure;VR,0,3,1,0,0,0-20000,4.79
174,Abandoned Knight,2016-04-27,1,Daniil Hasanov,Dagestan Technology,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual,Casual;Action;Adventure,0,105,211,233,224,200000-500000,3.19
175,Abandoned: Chestnut Lodge Asylum,2015-09-24,1,Lazy Turtle Games,"Tri Synergy, Inc.",windows,0,Single-player;Steam Achievements,Adventure;Casual,Adventure;Casual;Hidden Object,27,16,6,0,0,0-20000,4.99
176,Abandonment,2019-01-04,1,ZHANG YAN,JXTD,windows,0,Single-player,Adventure;Indie,Adventure;Indie,0,0,3,0,0,0-20000,2.09
177,Abasralsa,2018-01-12,1,Green-eyed Taxi,Narko Games,windows,0,Single-player,Action;Adventure,Violent;Gore;Action,0,162,72,0,0,0-20000,0.79
178,Abatron,2017-03-10,1,W3 Studios,W3 Studios,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Stats,Action;Indie;Strategy;Early Access,Early Access;Strategy;Action,0,11,0,0,0,0-20000,14.99
179,Abberbury,2019-04-18,1,Nuclear Box,Nuclear Box,windows,0,Single-player;Local Co-op;Shared/Split Screen;Full controller support,Action;Adventure;Indie,Action;Indie;Adventure,0,12,0,0,0,0-20000,7.19
180,Abbot's Book Demo,2016-04-04,1,"The Abbot's Book, LLC","Blackthorn Media, LLC",windows,0,Single-player;VR Support,Adventure;Free to Play;Indie;RPG,Adventure;Free to Play;RPG,0,155,18,0,0,50000-100000,0.0
181,ABC Coloring Town,2016-05-29,1,EnsenaSoft,EnsenaSoft,windows,0,Single-player;Steam Trading Cards,Casual,Casual;Family Friendly;Education,0,176,72,260,260,50000-100000,1.69
182,ABD: A Beautiful Day,2015-08-14,1,Robert Bonner;Jack Hanley;Ben Rawles;Boris Blosse,"Gag A Maggot Entertainment, LLC.",windows,18,MMO;Steam Achievements;Steam Trading Cards;Stats,Indie;Massively Multiplayer;Strategy;Early Access,Early Access;Indie;Strategy,1,15,32,0,0,0-20000,18.99
183,Abducted,2015-07-28,1,Sunside Inc,Sunside Inc,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie;RPG;Early Access,Early Access;Adventure;Action,12,38,18,0,0,0-20000,10.99
184,Abduction Action! Plus,2015-09-01,1,Fun Infused Games,Fun Infused Games,windows,0,Single-player;Steam Achievements;Full controller support,Action;Casual;Indie;Simulation,Action;Indie;Casual,10,22,24,0,0,0-20000,1.59
185,Abduction Bit,2016-11-14,1,SEEP,SEEP,windows,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Action;Indie;Pixel Graphics,10,60,4,0,0,0-20000,0.79
186,Abduction Prologue: The Story Of Jonathan Blake,2018-04-11,1,Red Iron Labs,Red Iron Labs,windows,0,Single-player;Full controller support;Captions available,Violent;Action;Adventure;Indie;Simulation;Strategy,Violent;Action;Adventure,0,1,7,0,0,0-20000,2.09
187,ABE VR,2016-06-23,1,Hammerhead VR,Hammerhead VR,windows,0,Single-player;Partial Controller Support,Adventure,Adventure;Horror;VR,0,155,89,0,0,50000-100000,0.0
188,Aberoth,2015-07-17,1,Jarbit;Castle art by Yuriy Gusev,Jarbit,windows;mac;linux,0,Multi-player;Online Multi-Player;MMO;Steam Achievements,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Pixel Graphics;Massively Multiplayer,30,748,476,354,35,200000-500000,0.0
189,"Abha ""Light on the Path""",2018-10-23,1,Little Angel,Little Angel,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Point & Click,0,3,0,0,0,0-20000,3.99
190,Able Black,2016-12-21,1,Skot Leach,Skot Leach,windows;mac,0,Single-player,Indie,Indie;Puzzle,7,15,0,0,0,0-20000,3.99
191,Ablepsia,2017-09-27,1,NedoStudio,NedoStudio,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;2D,38,74,59,6,10,0-20000,9.29
192,Abnormal world: season one,2018-04-18,1,Kedexa,Kedexa,windows,0,Single-player,Casual;Indie,Indie;Casual,0,0,1,0,0,0-20000,0.79
193,Abo Khashem,2018-02-22,1,Moving Dimensions,Moving Dimensions,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure;Casual;Indie;RPG,Adventure;RPG;Casual,38,23,6,0,0,0-20000,23.79
194,ABO MANDO,2015-12-31,1,UNDEAD,Andrés Calva;Luis Calva,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Action;Indie;Adventure,10,18,47,275,294,20000-50000,0.79
195,Abode,2016-12-01,1,Overflow,Overflow,windows,0,Single-player,Indie,Indie;Puzzle;VR,8,228,15,0,0,0-20000,6.99
196,Aborigenus,2018-10-17,1,Flying Islands Team,Flying Islands Team,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,4,22,5,0,0,0-20000,3.29
197,About Elise,2017-09-26,1,Toni Domínguez,Toni Domínguez,windows,0,Single-player;Partial Controller Support,Adventure;Casual;Free to Play;Indie;Simulation,Free to Play;Adventure;Indie,0,77,24,0,0,20000-50000,0.0
198,"About Love, Hate and the other ones",2014-12-12,1,Black Pants Studio,Black Pants Studio,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,Casual;Indie,Puzzle;Indie;Casual,0,553,63,170,170,50000-100000,4.99
199,Above - VR,2016-11-01,1,Sachonski;Renato Milanesi;Sith,Patagoniart,windows,0,Single-player;Steam Trading Cards,Adventure;Simulation,Adventure;Simulation;VR,0,9,18,0,0,20000-50000,2.79
200,Above the Fold,2018-12-03,1,Rasmus Rasmussen,Rasmus Rasmussen,windows,0,Single-player;Steam Leaderboards,Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,0,6,4,0,0,0-20000,10.99
201,Above: The Fallen,2017-09-18,1,Team Above,Light Loop Games,windows,0,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud,Adventure;Indie,Adventure;Indie,0,6,4,0,0,0-20000,3.99
202,ABRACA - Imagic Games,2016-03-31,1,Ankama Studio,Ankama Games,windows;mac,0,Shared/Split Screen;Steam Achievements;Full controller support,Action,Action;4 Player Local;Local Multiplayer,30,31,10,0,0,0-20000,10.99
203,Abrakadaboom,2019-04-18,1,Argonauts Studios,Argonauts Studios,windows,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Partial Controller Support,Action;Adventure;Casual;Indie;Early Access,Early Access;Action;Indie,0,1,0,0,0,0-20000,15.4
204,Abraxas Interactive's PUSH,2018-03-23,1,Abraxas Interactive,Abraxas Interactive,windows,0,Single-player;Full controller support,Indie,Indie;Puzzle,0,1,0,0,0,0-20000,0.79
205,Abrix for kids,2016-08-12,1,EJRGames,EJRGames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Casual;Indie;Strategy,Casual;Strategy;Indie,16,52,101,7,7,20000-50000,3.99
206,Abrix the robot,2016-04-29,1,EJRGames,EJRGames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Casual;Indie;Strategy,Indie;Casual;Strategy,23,50,21,295,295,50000-100000,6.99
207,Abscond,2017-12-08,1,XiNFiNiTY Games,OtakuMaker SARL,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,11,25,8,0,0,0-20000,0.99
208,Absence,2016-02-11,1,Samuel Sprague,Samuel Sprague,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure,Action;Adventure;Horror,1,6,15,0,0,0-20000,4.79
209,Absent,2015-08-31,1,FNGames,FNGames,windows,0,Single-player,Adventure;Free to Play,Free to Play;Adventure;Horror,6,201,48,0,0,50000-100000,0.0
210,Absent Mind,2017-02-24,1,Dylan Latham,Dylan Latham,windows,0,Single-player;Partial Controller Support,Violent;Gore;Adventure;Indie;Simulation,Adventure;Indie;Gore,0,4,6,0,0,0-20000,0.79
211,Absinth,2018-11-21,1,blackHound Studios GbR,blackHound Studios GbR,windows,0,Single-player,Action;Adventure;Indie;Early Access,Early Access;Indie;Puzzle,0,32,8,0,0,0-20000,3.99
212,Absoloot,2017-03-15,1,Latinas Tomatos,Dagestan Technology ,windows,0,Multi-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards,Action;Adventure;Indie,Action;Indie;Adventure,0,137,119,236,274,200000-500000,3.19
213,Absolute Blue,2018-04-21,1,Intermediaware,Intermediaware,windows,0,Single-player;Partial Controller Support,Action;Indie,Action;Indie;Shoot 'Em Up,0,11,7,0,0,0-20000,2.89
214,Absolute Drift,2015-07-29,1,Funselektor Labs Inc.;FlippFly,Funselektor Labs Inc.,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Racing;Simulation;Sports,Racing;Driving;Indie,20,1673,225,145,195,100000-200000,8.99
215,Absolute VR Experiences,2018-09-05,1,Ideoservo Games,Ideoservo Games,windows,0,Single-player,Indie,Indie;Early Access;Exploration,37,0,4,0,0,0-20000,7.19
